contestant_id,celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,elimination_week,J_pct,week,industry_std,is_US,age_bin,rank_judge,rank_final
Natalie Coughlin_S9,Natalie Coughlin,Alec Mazo,Athlete,California,United States,27,9,Eliminated Week 5,10,5,73.33333333333333,5,Athlete,1,26-35,8.0,10
Aaron Carter_S9,Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,9,Eliminated Week 8,5,8,54.99966666666667,6,Musician,1,18-25,7.0,5
Donny Osmond_S9,Donny Osmond,Kym Johnson,Singer/Rapper,Utah,United States,51,9,1st Place,1,finalist,51.66649999999999,6,Musician,1,46-55,9.0,1
Joanna Krupa_S9,Joanna Krupa,Derek Hough,Model,,Poland,30,9,Eliminated Week 9,4,9,59.99983333333333,6,Model,0,26-35,5.0,4
Kelly Osbourne_S9,Kelly Osbourne,Louis van Amstel,TV Personality,,England,24,9,3rd Place,3,finalist,83.33266666666667,6,TV_Personality,0,18-25,1.0,3
Louie Vito_S9,Louie Vito,Chelsie Hightower,Athlete,Ohio,United States,21,9,Eliminated Week 6,8,6,80.0,6,Athlete,1,18-25,2.0,8
Mark Dacascos_S9,Mark Dacascos,Lacey Schwimmer,Actor/Actress,Hawaii,United States,45,9,Eliminated Week 7,6,7,53.333333333333336,6,Actor,1,36-45,8.0,6
Melissa Joan Hart_S9,Melissa Joan Hart,Mark Ballas,Actor/Actress,New York,United States,33,9,Eliminated Week 6,9,6,79.99966666666667,6,Actor,1,26-35,3.0,9
Michael Irvin_S9,Michael Irvin,Anna Demidova,Athlete,Florida,United States,43,9,Eliminated Week 7,7,7,73.33266666666667,6,Athlete,1,36-45,4.0,7
Mya_S9,Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,9,2nd Place,2,finalist,55.00000000000001,6,Musician,1,26-35,6.0,2
Aaron Carter_S9,Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,9,Eliminated Week 8,5,8,88.33333333333333,7,Musician,1,18-25,2.0,5
Donny Osmond_S9,Donny Osmond,Kym Johnson,Singer/Rapper,Utah,United States,51,9,1st Place,1,finalist,86.66666666666667,7,Musician,1,46-55,3.0,1
Joanna Krupa_S9,Joanna Krupa,Derek Hough,Model,,Poland,30,9,Eliminated Week 9,4,9,91.66666666666666,7,Model,0,26-35,1.0,4
Kelly Osbourne_S9,Kelly Osbourne,Louis van Amstel,TV Personality,,England,24,9,3rd Place,3,finalist,86.66666666666667,7,TV_Personality,0,18-25,3.0,3
Mark Dacascos_S9,Mark Dacascos,Lacey Schwimmer,Actor/Actress,Hawaii,United States,45,9,Eliminated Week 7,6,7,71.66666666666667,7,Actor,1,36-45,7.0,6
Michael Irvin_S9,Michael Irvin,Anna Demidova,Athlete,Florida,United States,43,9,Eliminated Week 7,7,7,78.33333333333333,7,Athlete,1,36-45,6.0,7
Mya_S9,Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,9,2nd Place,2,finalist,81.66666666666667,7,Musician,1,26-35,5.0,2
Aaron Carter_S9,Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,9,Eliminated Week 8,5,8,83.33333333333334,8,Musician,1,18-25,4.0,5
Donny Osmond_S9,Donny Osmond,Kym Johnson,Singer/Rapper,Utah,United States,51,9,1st Place,1,finalist,83.33333333333334,8,Musician,1,46-55,4.0,1
Joanna Krupa_S9,Joanna Krupa,Derek Hough,Model,,Poland,30,9,Eliminated Week 9,4,9,86.66666666666667,8,Model,0,26-35,2.0,4
Kelly Osbourne_S9,Kelly Osbourne,Louis van Amstel,TV Personality,,England,24,9,3rd Place,3,finalist,85.0,8,TV_Personality,0,18-25,3.0,3
Mya_S9,Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,9,2nd Place,2,finalist,98.33333333333331,8,Musician,1,26-35,1.0,2
Donny Osmond_S9,Donny Osmond,Kym Johnson,Singer/Rapper,Utah,United States,51,9,1st Place,1,finalist,82.222,9,Musician,1,46-55,4.0,1
Joanna Krupa_S9,Joanna Krupa,Derek Hough,Model,,Poland,30,9,Eliminated Week 9,4,9,90.0,9,Model,0,26-35,2.0,4
Kelly Osbourne_S9,Kelly Osbourne,Louis van Amstel,TV Personality,,England,24,9,3rd Place,3,finalist,86.666,9,TV_Personality,0,18-25,3.0,3
Mya_S9,Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,9,2nd Place,2,finalist,96.66633333333333,9,Musician,1,26-35,1.0,2
Donny Osmond_S9,Donny Osmond,Kym Johnson,Singer/Rapper,Utah,United States,51,9,1st Place,1,finalist,96.666,10,Musician,1,46-55,1.0,1
Kelly Osbourne_S9,Kelly Osbourne,Louis van Amstel,TV Personality,,England,24,9,3rd Place,3,finalist,84.074,10,TV_Personality,0,18-25,3.0,3
Mya_S9,Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,9,2nd Place,2,finalist,94.444,10,Musician,1,26-35,2.0,2
Aiden Turner_S10,Aiden Turner,Edyta Sliwinska,Actor/Actress,,England,32,10,Eliminated Week 4,9,4,50.0,1,Actor,0,26-35,10.0,9
Buzz Aldrin_S10,Buzz Aldrin,Ashly DelGrosso,Astronaut,New Jersey,United States,80,10,Eliminated Week 3,10,3,46.66666666666666,1,Other,1,55+,11.0,10
Chad Ochocinco_S10,Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,10,Eliminated Week 9,4,9,60.0,1,Athlete,1,26-35,6.0,4
Erin Andrews_S10,Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,10,3rd Place,3,finalist,70.0,1,TV_Personality,1,26-35,3.0,3
Evan Lysacek_S10,Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,10,2nd Place,2,finalist,76.66666666666667,1,Athlete,1,18-25,2.0,2
Jake Pavelka_S10,Jake Pavelka,Chelsie Hightower,TV Personality,Texas,United States,32,10,Eliminated Week 6,7,6,66.66666666666666,1,TV_Personality,1,26-35,5.0,7
Kate Gosselin_S10,Kate Gosselin,Tony Dovolani,TV Personality,Pennsylvania,United States,35,10,Eliminated Week 5,8,5,53.333333333333336,1,TV_Personality,1,26-35,9.0,8
Nicole Scherzinger_S10,Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,10,1st Place,1,finalist,83.33333333333334,1,Musician,1,26-35,1.0,1
Niecy Nash_S10,Niecy Nash,Louis van Amstel,Actor/Actress,California,United States,40,10,Eliminated Week 8,5,8,60.0,1,Actor,1,36-45,6.0,5
Pamela Anderson_S10,Pamela Anderson,Damian Whitewood,Model,,Canada,42,10,Eliminated Week 7,6,7,70.0,1,Model,0,36-45,3.0,6
Shannen Doherty_S10,Shannen Doherty,Mark Ballas,Actor/Actress,Tennessee,United States,38,10,Eliminated Week 2,11,2,60.0,1,Actor,1,36-45,6.0,11
Aiden Turner_S10,Aiden Turner,Edyta Sliwinska,Actor/Actress,,England,32,10,Eliminated Week 4,9,4,63.33333333333333,2,Actor,0,26-35,8.0,9
Buzz Aldrin_S10,Buzz Aldrin,Ashly DelGrosso,Astronaut,New Jersey,United States,80,10,Eliminated Week 3,10,3,40.0,2,Other,1,55+,11.0,10
Chad Ochocinco_S10,Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,10,Eliminated Week 9,4,9,53.333333333333336,2,Athlete,1,26-35,9.0,4
Erin Andrews_S10,Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,10,3rd Place,3,finalist,76.66666666666667,2,TV_Personality,1,26-35,3.0,3
Evan Lysacek_S10,Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,10,2nd Place,2,finalist,80.0,2,Athlete,1,18-25,2.0,2
Jake Pavelka_S10,Jake Pavelka,Chelsie Hightower,TV Personality,Texas,United States,32,10,Eliminated Week 6,7,6,66.66666666666666,2,TV_Personality,1,26-35,6.0,7
Kate Gosselin_S10,Kate Gosselin,Tony Dovolani,TV Personality,Pennsylvania,United States,35,10,Eliminated Week 5,8,5,50.0,2,TV_Personality,1,26-35,10.0,8
Nicole Scherzinger_S10,Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,10,1st Place,1,finalist,93.33333333333331,2,Musician,1,26-35,1.0,1
Niecy Nash_S10,Niecy Nash,Louis van Amstel,Actor/Actress,California,United States,40,10,Eliminated Week 8,5,8,70.0,2,Actor,1,36-45,5.0,5
Pamela Anderson_S10,Pamela Anderson,Damian Whitewood,Model,,Canada,42,10,Eliminated Week 7,6,7,73.33333333333333,2,Model,0,36-45,4.0,6
Shannen Doherty_S10,Shannen Doherty,Mark Ballas,Actor/Actress,Tennessee,United States,38,10,Eliminated Week 2,11,2,66.66666666666666,2,Actor,1,36-45,6.0,11
Aiden Turner_S10,Aiden Turner,Edyta Sliwinska,Actor/Actress,,England,32,10,Eliminated Week 4,9,4,66.66666666666666,3,Actor,0,26-35,7.0,9
Buzz Aldrin_S10,Buzz Aldrin,Ashly DelGrosso,Astronaut,New Jersey,United States,80,10,Eliminated Week 3,10,3,43.333333333333336,3,Other,1,55+,10.0,10
Chad Ochocinco_S10,Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,10,Eliminated Week 9,4,9,66.66666666666666,3,Athlete,1,26-35,7.0,4
Erin Andrews_S10,Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,10,3rd Place,3,finalist,76.66666666666667,3,TV_Personality,1,26-35,2.0,3
Evan Lysacek_S10,Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,10,2nd Place,2,finalist,86.66666666666667,3,Athlete,1,18-25,1.0,2
Jake Pavelka_S10,Jake Pavelka,Chelsie Hightower,TV Personality,Texas,United States,32,10,Eliminated Week 6,7,6,70.0,3,TV_Personality,1,26-35,4.0,7
Kate Gosselin_S10,Kate Gosselin,Tony Dovolani,TV Personality,Pennsylvania,United States,35,10,Eliminated Week 5,8,5,50.0,3,TV_Personality,1,26-35,9.0,8
Nicole Scherzinger_S10,Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,10,1st Place,1,finalist,76.66666666666667,3,Musician,1,26-35,2.0,1
Niecy Nash_S10,Niecy Nash,Louis van Amstel,Actor/Actress,California,United States,40,10,Eliminated Week 8,5,8,70.0,3,Actor,1,36-45,4.0,5
Pamela Anderson_S10,Pamela Anderson,Damian Whitewood,Model,,Canada,42,10,Eliminated Week 7,6,7,70.0,3,Model,0,36-45,4.0,6
Aiden Turner_S10,Aiden Turner,Edyta Sliwinska,Actor/Actress,,England,32,10,Eliminated Week 4,9,4,55.00000000000001,4,Actor,0,26-35,8.0,9
Chad Ochocinco_S10,Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,10,Eliminated Week 9,4,9,73.33333333333333,4,Athlete,1,26-35,4.0,4
Erin Andrews_S10,Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,10,3rd Place,3,finalist,65.0,4,TV_Personality,1,26-35,5.0,3
Evan Lysacek_S10,Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,10,2nd Place,2,finalist,86.66666666666667,4,Athlete,1,18-25,1.0,2
Jake Pavelka_S10,Jake Pavelka,Chelsie Hightower,TV Personality,Texas,United States,32,10,Eliminated Week 6,7,6,63.33333333333333,4,TV_Personality,1,26-35,6.0,7
Kate Gosselin_S10,Kate Gosselin,Tony Dovolani,TV Personality,Pennsylvania,United States,35,10,Eliminated Week 5,8,5,53.333333333333336,4,TV_Personality,1,26-35,9.0,8
Nicole Scherzinger_S10,Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,10,1st Place,1,finalist,83.33333333333334,4,Musician,1,26-35,2.0,1
Niecy Nash_S10,Niecy Nash,Louis van Amstel,Actor/Actress,California,United States,40,10,Eliminated Week 8,5,8,60.0,4,Actor,1,36-45,7.0,5
Pamela Anderson_S10,Pamela Anderson,Damian Whitewood,Model,,Canada,42,10,Eliminated Week 7,6,7,78.33333333333333,4,Model,0,36-45,3.0,6
Chad Ochocinco_S10,Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,10,Eliminated Week 9,4,9,60.0,5,Athlete,1,26-35,6.0,4
Erin Andrews_S10,Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,10,3rd Place,3,finalist,73.33333333333333,5,TV_Personality,1,26-35,4.0,3
Evan Lysacek_S10,Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,10,2nd Place,2,finalist,90.0,5,Athlete,1,18-25,2.0,2
Jake Pavelka_S10,Jake Pavelka,Chelsie Hightower,TV Personality,Texas,United States,32,10,Eliminated Week 6,7,6,76.66666666666667,5,TV_Personality,1,26-35,3.0,7
Kate Gosselin_S10,Kate Gosselin,Tony Dovolani,TV Personality,Pennsylvania,United States,35,10,Eliminated Week 5,8,5,50.0,5,TV_Personality,1,26-35,8.0,8
Nicole Scherzinger_S10,Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,10,1st Place,1,finalist,96.66666666666669,5,Musician,1,26-35,1.0,1
Niecy Nash_S10,Niecy Nash,Louis van Amstel,Actor/Actress,California,United States,40,10,Eliminated Week 8,5,8,60.0,5,Actor,1,36-45,6.0,5
Pamela Anderson_S10,Pamela Anderson,Damian Whitewood,Model,,Canada,42,10,Eliminated Week 7,6,7,70.0,5,Model,0,36-45,5.0,6
Chad Ochocinco_S10,Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,10,Eliminated Week 9,4,9,51.66649999999999,6,Athlete,1,26-35,6.0,4
Erin Andrews_S10,Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,10,3rd Place,3,finalist,56.66666666666666,6,TV_Personality,1,26-35,5.0,3
Evan Lysacek_S10,Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,10,2nd Place,2,finalist,90.0,6,Athlete,1,18-25,1.0,2
Jake Pavelka_S10,Jake Pavelka,Chelsie Hightower,TV Personality,Texas,United States,32,10,Eliminated Week 6,7,6,83.33299999999998,6,TV_Personality,1,26-35,3.0,7
Nicole Scherzinger_S10,Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,10,1st Place,1,finalist,59.99983333333333,6,Musician,1,26-35,4.0,1
Niecy Nash_S10,Niecy Nash,Louis van Amstel,Actor/Actress,California,United States,40,10,Eliminated Week 8,5,8,86.666,6,Actor,1,36-45,2.0,5
Pamela Anderson_S10,Pamela Anderson,Damian Whitewood,Model,,Canada,42,10,Eliminated Week 7,6,7,49.99966666666667,6,Model,0,36-45,7.0,6
Chad Ochocinco_S10,Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,10,Eliminated Week 9,4,9,86.66666666666667,7,Athlete,1,26-35,3.0,4
Erin Andrews_S10,Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,10,3rd Place,3,finalist,85.0,7,TV_Personality,1,26-35,4.0,3
Evan Lysacek_S10,Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,10,2nd Place,2,finalist,90.0,7,Athlete,1,18-25,1.0,2
Nicole Scherzinger_S10,Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,10,1st Place,1,finalist,90.0,7,Musician,1,26-35,1.0,1
Niecy Nash_S10,Niecy Nash,Louis van Amstel,Actor/Actress,California,United States,40,10,Eliminated Week 8,5,8,81.66666666666667,7,Actor,1,36-45,6.0,5
Pamela Anderson_S10,Pamela Anderson,Damian Whitewood,Model,,Canada,42,10,Eliminated Week 7,6,7,85.0,7,Model,0,36-45,4.0,6
Chad Ochocinco_S10,Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,10,Eliminated Week 9,4,9,75.0,8,Athlete,1,26-35,4.0,4
Erin Andrews_S10,Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,10,3rd Place,3,finalist,88.33333333333333,8,TV_Personality,1,26-35,2.0,3
Evan Lysacek_S10,Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,10,2nd Place,2,finalist,88.33333333333333,8,Athlete,1,18-25,2.0,2
Nicole Scherzinger_S10,Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,10,1st Place,1,finalist,98.33333333333331,8,Musician,1,26-35,1.0,1
Niecy Nash_S10,Niecy Nash,Louis van Amstel,Actor/Actress,California,United States,40,10,Eliminated Week 8,5,8,71.66666666666667,8,Actor,1,36-45,5.0,5
Chad Ochocinco_S10,Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,10,Eliminated Week 9,4,9,86.66666666666667,9,Athlete,1,26-35,4.0,4
Erin Andrews_S10,Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,10,3rd Place,3,finalist,93.33333333333331,9,TV_Personality,1,26-35,3.0,3
Evan Lysacek_S10,Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,10,2nd Place,2,finalist,98.33333333333331,9,Athlete,1,18-25,1.0,2
Nicole Scherzinger_S10,Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,10,1st Place,1,finalist,98.33333333333331,9,Musician,1,26-35,1.0,1
Erin Andrews_S10,Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,10,3rd Place,3,finalist,89.99933333333333,10,TV_Personality,1,26-35,2.0,3
Evan Lysacek_S10,Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,10,2nd Place,2,finalist,89.629,10,Athlete,1,18-25,3.0,2
Nicole Scherzinger_S10,Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,10,1st Place,1,finalist,95.92566666666669,10,Musician,1,26-35,1.0,1
Audrina Patridge_S11,Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,11,Eliminated Week 6,7,6,63.33333333333333,1,TV_Personality,1,18-25,5.0,7
Brandy_S11,Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,11,Eliminated Week 9,4,9,76.66666666666667,1,Musician,1,26-35,2.0,4
Bristol Palin_S11,Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,11,3rd Place,3,finalist,60.0,1,TV_Personality,1,18-25,7.0,3
David Hasselhoff_S11,David Hasselhoff,Kym Johnson,Actor/Actress,Maryland,United States,58,11,Eliminated Week 1,12,1,50.0,1,Actor,1,55+,10.0,12
Florence Henderson_S11,Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,11,Eliminated Week 5,8,5,60.0,1,Actor,1,55+,7.0,8
Jennifer Grey_S11,Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,11,1st Place,1,finalist,80.0,1,Actor,1,46-55,1.0,1
Kurt Warner_S11,Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,11,Eliminated Week 8,5,8,63.33333333333333,1,Athlete,1,36-45,5.0,5
Kyle Massey_S11,Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,11,2nd Place,2,finalist,76.66666666666667,1,Actor,1,18-25,2.0,2
Margaret Cho_S11,Margaret Cho,Louis van Amstel,Comedian,California,United States,41,11,Eliminated Week 3,10,3,50.0,1,Comedian,1,36-45,10.0,10
Michael Bolton_S11,Michael Bolton,Chelsie Hightower,Singer/Rapper,Connecticut,United States,57,11,Eliminated Week 2,11,2,53.333333333333336,1,Musician,1,55+,9.0,11
Rick Fox_S11,Rick Fox,Cheryl Burke,Athlete,,Canada,41,11,Eliminated Week 7,6,7,73.33333333333333,1,Athlete,0,36-45,4.0,6
The Situation_S11,The Situation,Karina Smirnoff,TV Personality,New York,United States,28,11,Eliminated Week 4,9,4,50.0,1,TV_Personality,1,26-35,10.0,9
Audrina Patridge_S11,Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,11,Eliminated Week 6,7,6,76.66666666666667,2,TV_Personality,1,18-25,2.0,7
Brandy_S11,Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,11,Eliminated Week 9,4,9,70.0,2,Musician,1,26-35,5.0,4
Bristol Palin_S11,Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,11,3rd Place,3,finalist,73.33333333333333,2,TV_Personality,1,18-25,3.0,3
Florence Henderson_S11,Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,11,Eliminated Week 5,8,5,63.33333333333333,2,Actor,1,55+,8.0,8
Jennifer Grey_S11,Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,11,1st Place,1,finalist,80.0,2,Actor,1,46-55,1.0,1
Kurt Warner_S11,Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,11,Eliminated Week 8,5,8,70.0,2,Athlete,1,36-45,5.0,5
Kyle Massey_S11,Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,11,2nd Place,2,finalist,73.33333333333333,2,Actor,1,18-25,3.0,2
Margaret Cho_S11,Margaret Cho,Louis van Amstel,Comedian,California,United States,41,11,Eliminated Week 3,10,3,60.0,2,Comedian,1,36-45,9.0,10
Michael Bolton_S11,Michael Bolton,Chelsie Hightower,Singer/Rapper,Connecticut,United States,57,11,Eliminated Week 2,11,2,40.0,2,Musician,1,55+,11.0,11
Rick Fox_S11,Rick Fox,Cheryl Burke,Athlete,,Canada,41,11,Eliminated Week 7,6,7,70.0,2,Athlete,0,36-45,5.0,6
The Situation_S11,The Situation,Karina Smirnoff,TV Personality,New York,United States,28,11,Eliminated Week 4,9,4,60.0,2,TV_Personality,1,26-35,9.0,9
Audrina Patridge_S11,Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,11,Eliminated Week 6,7,6,86.66666666666667,3,TV_Personality,1,18-25,1.0,7
Brandy_S11,Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,11,Eliminated Week 9,4,9,80.0,3,Musician,1,26-35,2.0,4
Bristol Palin_S11,Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,11,3rd Place,3,finalist,63.33333333333333,3,TV_Personality,1,18-25,9.0,3
Florence Henderson_S11,Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,11,Eliminated Week 5,8,5,66.66666666666666,3,Actor,1,55+,7.0,8
Jennifer Grey_S11,Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,11,1st Place,1,finalist,80.0,3,Actor,1,46-55,2.0,1
Kurt Warner_S11,Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,11,Eliminated Week 8,5,8,76.66666666666667,3,Athlete,1,36-45,5.0,5
Kyle Massey_S11,Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,11,2nd Place,2,finalist,76.66666666666667,3,Actor,1,18-25,5.0,2
Margaret Cho_S11,Margaret Cho,Louis van Amstel,Comedian,California,United States,41,11,Eliminated Week 3,10,3,60.0,3,Comedian,1,36-45,10.0,10
Rick Fox_S11,Rick Fox,Cheryl Burke,Athlete,,Canada,41,11,Eliminated Week 7,6,7,80.0,3,Athlete,0,36-45,2.0,6
The Situation_S11,The Situation,Karina Smirnoff,TV Personality,New York,United States,28,11,Eliminated Week 4,9,4,66.66666666666666,3,TV_Personality,1,26-35,7.0,9
Audrina Patridge_S11,Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,11,Eliminated Week 6,7,6,76.66666666666667,4,TV_Personality,1,18-25,3.0,7
Brandy_S11,Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,11,Eliminated Week 9,4,9,80.0,4,Musician,1,26-35,2.0,4
Bristol Palin_S11,Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,11,3rd Place,3,finalist,53.333333333333336,4,TV_Personality,1,18-25,8.0,3
Florence Henderson_S11,Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,11,Eliminated Week 5,8,5,58.333333333333336,4,Actor,1,55+,6.0,8
Jennifer Grey_S11,Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,11,1st Place,1,finalist,93.33333333333331,4,Actor,1,46-55,1.0,1
Kurt Warner_S11,Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,11,Eliminated Week 8,5,8,56.66666666666666,4,Athlete,1,36-45,7.0,5
Kyle Massey_S11,Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,11,2nd Place,2,finalist,66.66666666666666,4,Actor,1,18-25,4.0,2
Rick Fox_S11,Rick Fox,Cheryl Burke,Athlete,,Canada,41,11,Eliminated Week 7,6,7,65.0,4,Athlete,0,36-45,5.0,6
The Situation_S11,The Situation,Karina Smirnoff,TV Personality,New York,United States,28,11,Eliminated Week 4,9,4,46.66666666666666,4,TV_Personality,1,26-35,9.0,9
Audrina Patridge_S11,Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,11,Eliminated Week 6,7,6,76.66666666666667,5,TV_Personality,1,18-25,5.0,7
Brandy_S11,Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,11,Eliminated Week 9,4,9,90.0,5,Musician,1,26-35,1.0,4
Bristol Palin_S11,Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,11,3rd Place,3,finalist,60.0,5,TV_Personality,1,18-25,8.0,3
Florence Henderson_S11,Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,11,Eliminated Week 5,8,5,70.0,5,Actor,1,55+,6.0,8
Jennifer Grey_S11,Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,11,1st Place,1,finalist,83.33333333333334,5,Actor,1,46-55,2.0,1
Kurt Warner_S11,Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,11,Eliminated Week 8,5,8,80.0,5,Athlete,1,36-45,3.0,5
Kyle Massey_S11,Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,11,2nd Place,2,finalist,66.66666666666666,5,Actor,1,18-25,7.0,2
Rick Fox_S11,Rick Fox,Cheryl Burke,Athlete,,Canada,41,11,Eliminated Week 7,6,7,80.0,5,Athlete,0,36-45,3.0,6
Audrina Patridge_S11,Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,11,Eliminated Week 6,7,6,53.333,6,TV_Personality,1,18-25,6.0,7
Brandy_S11,Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,11,Eliminated Week 9,4,9,59.99983333333333,6,Musician,1,26-35,5.0,4
Bristol Palin_S11,Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,11,3rd Place,3,finalist,93.33266666666668,6,TV_Personality,1,18-25,3.0,3
Jennifer Grey_S11,Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,11,1st Place,1,finalist,96.66666666666669,6,Actor,1,46-55,2.0,1
Kurt Warner_S11,Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,11,Eliminated Week 8,5,8,73.333,6,Athlete,1,36-45,4.0,5
Kyle Massey_S11,Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,11,2nd Place,2,finalist,49.99983333333333,6,Actor,1,18-25,7.0,2
Rick Fox_S11,Rick Fox,Cheryl Burke,Athlete,,Canada,41,11,Eliminated Week 7,6,7,100.0,6,Athlete,0,36-45,1.0,6
Brandy_S11,Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,11,Eliminated Week 9,4,9,91.25,7,Musician,1,26-35,1.0,4
Bristol Palin_S11,Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,11,3rd Place,3,finalist,81.25,7,TV_Personality,1,18-25,6.0,3
