celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_J_pct,week2_J_pct,week3_J_pct,week4_J_pct,week5_J_pct,week6_J_pct,week7_J_pct,week8_J_pct,week9_J_pct,week10_J_pct,week11_J_pct,elimination_week,contestant_id
Hines Ward,Kym Johnson,Athlete,,South Korea,35,12,1st Place,1,70.0,76.66666666666667,83.33333333333334,83.33333333333334,90.0,90.0,82.5,90.0,100.0,98.88866666666668,,finalist,Hines Ward_S12
Sugar Ray Leonard,Anna Trebunskaya,Athlete,North Carolina,United States,54,12,Eliminated Week 4,9,56.666666666666664,56.666666666666664,66.66666666666666,70.0,,,,,,,,4,Sugar Ray Leonard_S12
Chris Jericho,Cheryl Burke,Athlete,New York,United States,40,12,Eliminated Week 6,7,63.33333333333333,76.66666666666667,70.0,76.66666666666667,86.66666666666667,73.33333333333333,,,,,,6,Chris Jericho_S12
Petra Nemcova,Dmitry Chaplin,Model,,Czechoslovakia,31,12,Eliminated Week 5,8,60.0,60.0,83.33333333333334,76.66666666666667,73.33333333333333,,,,,,,5,Petra Nemcova_S12
Mike Catherwood,Lacey Schwimmer,Radio Personality,California,United States,32,12,Eliminated Week 2,11,43.333333333333336,56.666666666666664,,,,,,,,,,2,Mike Catherwood_S12
Romeo,Chelsie Hightower,Singer/Rapper,Louisiana,United States,21,12,Eliminated Week 8,5,63.33333333333333,76.66666666666667,66.66666666666666,76.66666666666667,86.66666666666667,93.33333333333333,75.0,86.66666666666667,,,,8,Romeo_S12
Wendy Williams,Tony Dovolani,TV Personality,New Jersey,United States,46,12,Eliminated Week 3,10,46.666666666666664,56.666666666666664,50.0,,,,,,,,,3,Wendy Williams_S12
Kendra Wilkinson,Louis van Amstel,TV Personality,California,United States,25,12,Eliminated Week 7,6,60.0,63.33333333333333,76.66666666666667,60.0,73.33333333333333,83.33333333333334,76.25,,,,,7,Kendra Wilkinson_S12
Elisabetta Canalis,Valentin Chmerkovskiy,Actor/Actress,,Italy,33,13,Eliminated Week 2,11,50.0,70.0,,,,,,,,,,2,Elisabetta Canalis_S13
David Arquette,Kym Johnson,Actor/Actress,Virginia,United States,40,13,Eliminated Week 7,6,60.0,60.0,80.0,76.66666666666667,83.33333333333334,76.66666666666667,78.33333333333333,,,,,7,David Arquette_S13
Ricki Lake,Derek Hough,Actor/Actress,New York,United States,42,13,3rd Place,3,66.66666666666666,76.66666666666667,90.0,96.66666666666667,80.0,96.66666666666667,88.33333333333333,86.66666666666667,55.833166666666656,93.33299999999998,,finalist,Ricki Lake_S13
J.R. Martinez,Karina Smirnoff,Actor/Actress,Louisiana,United States,28,13,1st Place,1,73.33333333333333,73.33333333333333,86.66666666666667,86.66666666666667,93.33333333333333,96.66666666666667,80.0,100.0,93.33333333333333,93.88833333333334,,finalist,J.R. Martinez_S13
Metta World Peace (Ron),Peta Murgatroyd,Athlete,New York,United States,31,13,Eliminated Week 1,12,46.666666666666664,,,,,,,,,,,1,Metta World Peace (Ron)_S13
Hope Solo,Maksim Chmerkoskiy,Athlete,Washington,United States,30,13,Eliminated Week 9,4,70.0,63.33333333333333,80.0,80.0,80.0,66.66666666666666,83.33333333333334,86.66666666666667,81.66600000000001,,,9,Hope Solo_S13
Chynna Phillips,Tony Dovolani,Singer/Rapper,California,United States,43,13,Eliminated Week 4,9,73.33333333333333,70.0,86.66666666666667,70.0,,,,,,,,4,Chynna Phillips_S13
Kristin Cavallari,Mark Ballas,TV Personality,Colorado,United States,24,13,Eliminated Week 3,10,63.33333333333333,73.33333333333333,80.0,,,,,,,,,3,Kristin Cavallari_S13
Carson Kressley,Anna Trebunskaya,TV Personality,Pennsylvania,United States,41,13,Eliminated Week 5,8,56.666666666666664,60.0,76.66666666666667,66.66666666666666,63.33333333333333,,,,,,,5,Carson Kressley_S13
Chaz Bono,Lacey Schwimmer,TV Personality,California,United States,42,13,Eliminated Week 6,7,56.666666666666664,56.666666666666664,60.0,70.0,70.0,63.33333333333333,,,,,,6,Chaz Bono_S13
Nancy Grace,Tristan MacManus,TV Personality,Georgia,United States,51,13,Eliminated Week 8,5,53.333333333333336,70.0,70.0,70.0,73.33333333333333,80.0,73.33333333333333,73.33333333333333,,,,8,Nancy Grace_S13
Rob Kardashian,Cheryl Burke,TV Personality,California,United States,24,13,2nd Place,2,53.333333333333336,70.0,80.0,80.0,83.33333333333334,73.33333333333333,85.0,85.0,54.16633333333334,94.44399999999999,,finalist,Rob Kardashian_S13
William Levy,Cheryl Burke,Actor/Actress,,Cuba,31,14,3rd Place,3,80.0,83.33333333333334,93.33333333333333,73.33333333333333,96.66666666666667,60.0,88.33333333333333,95.0,96.66666666666667,98.88866666666668,,finalist,William Levy_S14
Jack Wagner,Anna Trebunskaya,Actor/Actress,Missouri,United States,52,14,Eliminated Week 3,11,76.66666666666667,70.0,80.0,,,,,,,,,3,Jack Wagner_S14
Sherri Sheperd,Valentin Chmerkovskiy,Actor/Actress,Illinois,United States,44,14,Eliminated Week 4,10,76.66666666666667,76.66666666666667,80.0,70.0,,,,,,,,4,Sherri Sheperd_S14
Jaleel White,Kym Johnson,Actor/Actress,California,United States,35,14,Eliminated Week 7,7,86.66666666666667,73.33333333333333,83.33333333333334,73.33333333333333,80.0,61.666333333333334,85.0,,,,,7,Jaleel White_S14
Roshon Fegan,Chelsie Hightower,Actor/Actress,California,United States,20,14,Eliminated Week 8,6,76.66666666666667,86.66666666666667,83.33333333333334,86.66666666666667,86.66666666666667,93.33266666666667,86.66666666666667,93.33333333333333,,,,8,Roshon Fegan_S14
Melissa Gilbert,Maksim Chmerkoskiy,Actor/Actress,California,United States,47,14,Eliminated Week 8,5,66.66666666666666,66.66666666666666,80.0,73.33333333333333,70.0,100.0,78.33333333333333,85.0,,,,8,Melissa Gilbert_S14
Martina Navratilova,Tony Dovolani,Athlete,,Czechoslovakia,55,14,Eliminated Week 2,12,66.66666666666666,56.666666666666664,,,,,,,,,,2,Martina Navratilova_S14
Donald Driver,Peta Murgatroyd,Athlete,Texas,United States,37,14,1st Place,1,70.0,80.0,86.66666666666667,90.0,90.0,56.6665,88.33333333333333,91.66666666666666,95.0,98.88866666666668,,finalist,Donald Driver_S14
Gavin DeGraw,Karina Smirnoff,Singer/Rapper,New York,United States,35,14,Eliminated Week 5,9,66.66666666666666,70.0,80.0,76.66666666666667,63.33333333333333,,,,,,,5,Gavin DeGraw_S14
Gladys Knight,Tristan MacManus,Singer/Rapper,Georgia,United States,67,14,Eliminated Week 6,8,76.66666666666667,63.33333333333333,80.0,66.66666666666666,73.33333333333333,80.0,,,,,,6,Gladys Knight_S14
Katherine Jenkins,Mark Ballas,Singer/Rapper,,Wales,31,14,2nd Place,2,86.66666666666667,86.66666666666667,96.66666666666667,80.0,96.66666666666667,64.99983333333333,90.0,91.66666666666666,93.33333333333333,100.0,,finalist,Katherine Jenkins_S14
Maria Menounos,Derek Hough,TV Personality,Massachusetts,United States,33,14,Eliminated Week 9,4,70.0,83.33333333333334,90.0,86.66666666666667,90.0,49.99983333333333,95.0,88.33333333333333,98.33333333333333,,,9,Maria Menounos_S14
Gilles Marini,Peta Murgatroyd,Actor/Actress,,France,36,15,Eliminated Week 8,6,80.0,85.0,85.0,98.75,94.16666666666667,91.66666666666666,55.833,97.59233333333334,,,,8,Gilles Marini_S15
Sabrina Bryan,Louis van Amstel,Actor/Actress,California,United States,28,15,Eliminated Week 6,8,75.0,86.66666666666667,85.0,88.75,97.5,100.0,,,,,,6,Sabrina Bryan_S15
Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,61,15,Eliminated Week 8,7,63.33333333333333,70.0,80.0,75.0,87.5,91.66666666666666,93.33299999999998,85.0,,,,8,Kirstie Alley_S15
Kelly Monaco,Valentin Chmerkovskiy,Actor/Actress,Pennsylvania,United States,36,15,3rd Place,3,71.66666666666667,73.33333333333333,90.0,93.75,85.83333333333333,90.0,60.0,94.44433333333335,90.36999999999999,97.03633333333333,,finalist,Kelly Monaco_S15
Apolo Anton Ohno,Karina Smirnoff,Athlete,Washington,United States,30,15,Eliminated Week 9,5,73.33333333333333,81.66666666666667,85.0,86.25,94.16666666666667,100.0,55.00000000000001,97.59233333333334,95.36999999999999,,,9,Apolo Anton Ohno_S15
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,43,15,Eliminated Week 9,4,81.66666666666667,75.0,83.33333333333334,90.0,93.33333333333333,88.33333333333333,57.49983333333333,96.85133333333333,90.0,,,9,Emmitt Smith_S15
Shawn Johnson,Derek Hough,Athlete,Iowa,United States,20,15,2nd Place,2,73.33333333333333,83.33333333333334,88.33333333333333,98.75,94.16666666666667,93.33333333333333,63.333000000000006,92.77766666666668,98.33333333333333,96.481,,finalist,Shawn Johnson_S15
Pamela Anderson,Tristan MacManus,Model,,Canada,45,15,Eliminated Week 1,13,56.666666666666664,,,,,,,,,,,1,Pamela Anderson_S15
Helio Castroneves,Chelsie Hightower,Racing Driver,,Brazil,37,15,Eliminated Week 3,10,71.66666666666667,76.66666666666667,85.0,,,,,,,,,3,Helio Castroneves_S15
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,35,15,Eliminated Week 2,12,68.33333333333333,75.0,,,,,,,,,,2,Joey Fatone_S15
Drew Lachey,Anna Trebunskaya,Singer/Rapper,Ohio,United States,36,15,Eliminated Week 3,11,71.66666666666667,75.0,80.0,,,,,,,,,3,Drew Lachey_S15
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,21,15,Eliminated Week 4,9,65.0,60.0,75.0,80.0,,,,,,,,4,Bristol Palin_S15
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,29,15,1st Place,1,70.0,78.33333333333333,90.0,92.5,94.16666666666667,98.33333333333333,64.99983333333333,100.0,95.92566666666667,97.77699999999999,,finalist,Melissa Rycroft_S15
Ingo Rademacher,Kym Johnson,Actor/Actress,,Germany,41,16,Eliminated Week 9,5,66.66666666666666,66.66666666666666,70.0,76.66666666666667,70.0,76.66666666666667,83.33333333333334,80.0,85.0,,,9,Ingo Rademacher_S16
Zendaya,Valentin Chmerkovskiy,Actor/Actress,California,United States,16,16,2nd Place,2,80.0,86.66666666666667,86.666,86.66666666666667,96.66666666666667,85.0,100.0,96.66666666666667,91.66666666666666,100.0,,finalist,Zendaya_S16
Dorothy Hamill,Tristan MacManus,Athlete,Illinois,United States,56,16,Withdrew,12,70.0,50.0,,,,,,,,,,withdrew,Dorothy Hamill_S16
Victor Ortiz,Lindsay Arnold,Athlete,Kansas,United States,26,16,Eliminated Week 6,8,60.0,60.0,76.66666666666667,60.0,70.0,66.66666666666666,,,,,,6,Victor Ortiz_S16
Alexandra Raisman,Mark Ballas,Athlete,Massachusetts,United States,18,16,Eliminated Week 10,4,70.0,80.0,76.66666666666667,90.0,83.33333333333334,86.66666666666667,53.333333333333336,93.33333333333333,98.33333333333333,96.66666666666667,,10,Alexandra Raisman_S16
Jacoby Jones,Karina Smirnoff,Athlete,Louisiana,United States,28,16,3rd Place,3,66.66666666666666,76.66666666666667,86.666,80.0,86.66666666666667,75.0,90.0,86.66666666666667,98.33333333333333,93.33299999999998,,finalist,Jacoby Jones_S16
D. L. Hughley,Cheryl Burke,Comedian,Virginia,United States,50,16,Eliminated Week 5,9,40.0,53.333333333333336,53.333333333333336,70.0,60.0,,,,,,,5,D. L. Hughley_S16
Andy Dick,Sharna Burgess,Comedian,South Carolina,United States,47,16,Eliminated Week 7,7,56.666666666666664,66.66666666666666,60.0,70.0,60.0,71.66666666666667,56.666666666666664,,,,,7,Andy Dick_S16
Wynonna Judd,Tony Dovolani,Singer/Rapper,Kentucky,United States,48,16,Eliminated Week 3,11,60.0,60.0,50.0,,,,,,,,,3,Wynonna Judd_S16
Kellie Pickler,Derek Hough,Singer/Rapper,North Carolina,United States,26,16,1st Place,1,70.0,86.66666666666667,83.33333333333334,86.66666666666667,90.0,90.0,96.66666666666667,91.66666666666666,96.66666666666667,100.0,,finalist,Kellie Pickler_S16
Lisa Vanderpump,Gleb Savchenko,TV Personality,,England,52,16,Eliminated Week 4,10,60.0,60.0,70.0,60.0,,,,,,,,4,Lisa Vanderpump_S16
Sean Lowe,Peta Murgatroyd,TV Personality,Texas,United States,29,16,Eliminated Week 8,6,63.33333333333333,66.66666666666666,70.0,66.66666666666666,80.0,76.66666666666667,80.0,70.0,,,,8,Sean Lowe_S16
Valerie Harper,Tristan MacManus,Actor/Actress,New York,United States,74,17,Eliminated Week 4,10,70.0,63.33333333333333,53.333333333333336,60.0,,,,,,,,4,Valerie Harper_S17
Brant Daugherty,Peta Murgatroyd,Actor/Actress,Ohio,United States,28,17,Eliminated Week 8,7,73.33333333333333,76.66666666666667,90.0,70.0,90.0,51.66666666666667,95.0,90.0,,,,8,Brant Daugherty_S17
Elizabeth Berkley Lauren,Valentin Chmerkovskiy,Actor/Actress,Michigan,United States,39,17,Eliminated Week 9,6,80.0,83.33333333333334,83.33333333333334,90.0,86.66666666666667,53.333,90.0,83.33333333333334,93.33333333333333,,,9,Elizabeth Berkley Lauren_S17
Leah Remini,Tony Dovolani,Actor/Actress,New York,United States,43,17,Eliminated Week 10,5,70.0,80.0,80.0,80.0,73.33333333333333,93.33299999999998,88.33333333333333,93.33333333333333,90.0,81.25,,10,Leah Remini_S17
Corbin Bleu,Karina Smirnoff,Actor/Actress,New York,United States,24,17,2nd Place,2,80.0,86.66666666666667,86.66666666666667,90.0,93.33333333333333,89.99966666666666,98.33333333333333,100.0,96.66666666666667,93.75,98.888,finalist,Corbin Bleu_S17
Amber Riley,Derek Hough,Actor/Actress,California,United States,27,17,1st Place,1,90.0,80.0,80.0,90.0,86.66666666666667,53.33316666666666,98.33333333333333,93.33333333333333,85.0,98.75,52.222,finalist,Amber Riley_S17
Keyshawn Johnson,Sharna Burgess,Athlete,California,United States,41,17,Eliminated Week 2,12,56.666666666666664,60.0,,,,,,,,,,2,Keyshawn Johnson_S17
Bill Engvall,Emma Slater,Comedian,Texas,United States,56,17,Eliminated Week 11,4,60.0,70.0,80.0,70.0,80.0,79.99966666666667,83.33333333333334,80.0,70.0,75.0,84.99966666666666,11,Bill Engvall_S17
Christina Milian,Mark Ballas,Singer/Rapper,New Jersey,United States,31,17,Eliminated Week 5,9,73.33333333333333,83.33333333333334,86.66666666666667,80.0,93.33333333333333,,,,,,,5,Christina Milian_S17
"Nicole ""Snooki"" Polizzi",Sasha Farber,TV Personality,,Chile,25,17,Eliminated Week 7,8,76.66666666666667,66.66666666666666,83.33333333333334,80.0,90.0,100.0,90.0,,,,,7,"Nicole ""Snooki"" Polizzi_S17"
Jack Osbourne,Cheryl Burke,TV Personality,,England,27,17,3rd Place,3,76.66666666666667,80.0,73.33333333333333,80.0,90.0,89.99933333333333,95.0,100.0,90.0,88.75,93.33299999999998,finalist,Jack Osbourne_S17
Bill Nye,Tyne Stecklein,TV Personality,Washington D.C.,United States,57,17,Eliminated Week 3,11,46.666666666666664,56.666666666666664,53.333333333333336,,,,,,,,,3,Bill Nye_S17
Billy Dee Williams,Emma Slater,Actor/Actress,New York,United States,76,18,Withdrew,10,50.0,50.0,,,,,,,,,,withdrew,Billy Dee Williams_S18
Danica McKellar,Valentin Chmerkovskiy,Actor/Actress,California,United States,39,18,Eliminated Week 8,6,80.0,80.0,90.0,80.0,97.5,90.0,90.0,95.0,,,,8,Danica McKellar_S18
James Maslow,Peta Murgatroyd,Actor/Actress,New York,United States,23,18,Eliminated Week 10,4,70.0,83.33333333333334,90.0,87.5,100.0,87.5,87.5,90.0,95.0,96.66666666666667,,10,James Maslow_S18
Candace Cameron Bure,Mark Ballas,Actor/Actress,California,United States,37,18,3rd Place,3,83.33333333333334,70.0,80.0,70.0,87.5,80.0,92.5,90.0,90.0,86.666,,finalist,Candace Cameron Bure_S18
Sean Avery,Karina Smirnoff,Athlete,,Canada,33,18,Eliminated Week 2,11,66.66666666666666,70.0,,,,,,,,,,2,Sean Avery_S18
Diana Nyad,Henry Byalikov,Athlete,New York,United States,64,18,Eliminated Week 2,12,60.0,,,,,,,,,,,2,Diana Nyad_S18
Charlie White,Sharna Burgess,Athlete,Michigan,United States,26,18,Eliminated Week 9,5,90.0,83.33333333333334,90.0,82.5,92.5,90.0,88.75,100.0,95.0,,,9,Charlie White_S18
Amy Purdy,Derek Hough,Athlete,Nevada,United States,34,18,2nd Place,2,80.0,80.0,90.0,85.0,92.5,95.0,93.75,100.0,97.5,98.88866666666668,,finalist,Amy Purdy_S18
Meryl Davis,Maksim Chmerkoskiy,Athlete,Michigan,United States,27,18,1st Place,1,80.0,83.33333333333334,97.5,97.5,90.0,100.0,97.5,90.0,100.0,100.0,,finalist,Meryl Davis_S18
Drew Carey,Cheryl Burke,Comedian,Ohio,United States,55,18,Eliminated Week 6,8,70.0,70.0,75.0,82.5,70.0,80.0,,,,,,6,Drew Carey_S18
Cody Simpson,Witney Carson,Singer/Rapper,,Australia,17,18,Eliminated Week 5,9,73.33333333333333,73.33333333333333,87.5,77.5,85.0,,,,,,,5,Cody Simpson_S18
NeNe Leakes,Tony Dovolani,TV Personality,New York,United States,46,18,Eliminated Week 7,7,70.0,70.0,77.5,80.0,90.0,82.5,82.5,,,,,7,NeNe Leakes_S18
Antonio Sabato Jr.,Cheryl Burke,Actor/Actress,,Italy,42,19,Eliminated Week 7,8,62.5,77.5,72.5,72.5,70.0,70.0,73.75,,,,,7,Antonio Sabato Jr._S19
Jonathan Bennett,Allison Holker,Actor/Actress,Ohio,United States,33,19,Eliminated Week 6,9,75.0,75.0,80.0,60.0,60.0,80.0,,,,,,6,Jonathan Bennett_S19
Lea Thompson,Artem Chigvintsev,Actor/Actress,Minnesota,United States,53,19,Eliminated Week 9,6,80.0,87.5,77.5,97.5,85.0,80.0,87.5,80.0,87.5,,,9,Lea Thompson_S19
Janel Parrish,Valentin Chmerkovskiy,Actor/Actress,Hawaii,United States,25,19,3rd Place,3,72.5,85.0,100.0,90.0,82.5,82.5,83.75,53.75,96.25,97.5,97.49950000000001,finalist,Janel Parrish_S19
Alfonso Ribeiro,Witney Carson,Actor/Actress,New York,United States,42,19,1st Place,1,90.0,80.0,80.0,100.0,85.0,97.5,85.0,51.24999999999999,96.25,93.75,100.0,finalist,Alfonso Ribeiro_S19
Lolo Jones,Keo Motsepe,Athlete,Iowa,United States,32,19,Eliminated Week 1,13,55.00000000000001,,,,,,,,,,,1,Lolo Jones_S19
Randy Couture,Karina Smirnoff,Athlete,Washington,United States,51,19,Eliminated Week 3,11,77.5,70.0,65.0,,,,,,,,,3,Randy Couture_S19
Tommy Chong,Peta Murgatroyd,Comedian,,Canada,76,19,Eliminated Week 10,5,67.5,70.0,85.0,70.0,57.49999999999999,70.0,75.0,72.5,71.25,77.5,,10,Tommy Chong_S19
Betsey Johnson,Tony Dovolani,Fashion Designer,Connecticut,United States,72,19,Eliminated Week 4,10,50.0,70.0,72.5,72.5,,,,,,,,4,Betsey Johnson_S19
Michael Waltrip,Emma Slater,Racing Driver,Kentucky,United States,51,19,Eliminated Week 8,7,62.5,60.0,70.0,62.5,50.0,75.0,70.0,62.5,,,,8,Michael Waltrip_S19
Tavis Smiley,Sharna Burgess,Radio Personality,Mississippi,United States,50,19,Eliminated Week 2,12,72.5,70.0,,,,,,,,,,2,Tavis Smiley_S19
Bethany Mota,Derek Hough,Social Media Personality,California,United States,18,19,Eliminated Week 11,4,80.0,82.5,100.0,82.5,80.0,90.0,93.75,50.0,92.5,95.0,95.0,11,Bethany Mota_S19
Sadie Robertson,Mark Ballas,TV Personality,Louisiana,United States,17,19,2nd Place,2,85.0,77.5,80.0,92.5,90.0,87.5,77.5,95.0,91.25,92.5,98.33300000000001,finalist,Sadie Robertson_S19
Suzanne Somers,Tony Dovolani,Actor/Actress,California,United States,68,20,Eliminated Week 5,9,62.5,70.0,62.5,70.0,70.0,,,,,,,5,Suzanne Somers_S20
Willow Shields,Mark Ballas,Actor/Actress,New Mexico,United States,14,20,Eliminated Week 7,7,62.5,80.0,80.0,97.5,85.0,91.25,48.75,,,,,7,Willow Shields_S20
Riker Lynch,Allison Holker,Actor/Actress,Colorado,United States,23,20,2nd Place,2,77.5,80.0,85.0,85.0,95.0,95.0,92.5,97.5,100.0,100.0,,finalist,Riker Lynch_S20
Rumer Willis,Valentin Chmerkovskiy,Actor/Actress,Kentucky,United States,26,20,1st Place,1,80.0,80.0,82.5,87.5,97.5,88.75,92.5,100.0,97.5,100.0,,finalist,Rumer Willis_S20
Nastia Liukin,Derek Hough,Athlete,,Russia,25,20,Eliminated Week 9,4,75.0,85.0,85.0,90.0,95.0,91.25,51.24999999999999,95.0,100.0,,,9,Nastia Liukin_S20
Michael Sam,Peta Murgatroyd,Athlete,Texas,United States,25,20,Eliminated Week 4,10,65.0,70.0,60.0,75.0,,,,,,,,4,Michael Sam_S20
Robert Herjavec,Kym Johnson,Entrepreneur,,Croatia,52,20,Eliminated Week 8,6,70.0,70.0,72.5,85.0,60.0,83.75,77.5,77.5,,,,8,Robert Herjavec_S20
Charlotte McKinney,Keo Motsepe,Model,Florida,United States,21,20,Eliminated Week 3,11,55.00000000000001,65.0,55.00000000000001,,,,,,,,,3,Charlotte McKinney_S20
Noah Galloway,Sharna Burgess,Motivational Speaker,Alabama,United States,33,20,3rd Place,3,65.0,67.5,75.0,80.0,70.0,85.0,47.5,78.75,95.0,90.0,,finalist,Noah Galloway_S20
Redfoo,Emma Slater,Singer/Rapper,California,United States,39,20,Eliminated Week 2,12,55.00000000000001,77.5,,,,,,,,,,2,Redfoo_S20
Patti LaBelle,Artem Chigvintsev,Singer/Rapper,Pennsylvania,United States,70,20,Eliminated Week 6,8,62.5,70.0,55.00000000000001,75.0,67.5,85.0,,,,,,6,Patti LaBelle_S20
Chris Soules,Witney Carson,TV Personality,Iowa,United States,33,20,Eliminated Week 8,5,65.0,52.5,70.0,67.5,67.5,87.5,77.5,80.0,,,,8,Chris Soules_S20
Gary Busey,Anna Trebunskaya,Actor/Actress,Texas,United States,71,21,Eliminated Week 4,10,50.0,55.00000000000001,62.5,53.333333333333336,,,,,,,,4,Gary Busey_S21
Alexa PenaVega,Mark Ballas,Actor/Actress,Florida,United States,27,21,Eliminated Week 9,6,73.33333333333333,76.66666666666667,90.0,70.0,100.0,75.0,91.66666666666666,89.99933333333333,100.0,,,9,Alexa PenaVega_S21
Carlos PenaVega,Witney Carson,Actor/Actress,Missouri,United States,26,21,Eliminated Week 11,4,76.66666666666667,75.0,77.5,83.33333333333334,97.5,95.0,93.33333333333333,96.666,90.0,52.5,100.0,11,Carlos PenaVega_S21
Victor Espinoza,Karina Smirnoff,Athlete,,Mexico,43,21,Eliminated Week 2,12,50.0,61.66666666666667,,,,,,,,,,2,Victor Espinoza_S21
Alek Skarlatos,Lindsay Arnold,Military,California,United States,22,21,3rd Place,3,73.33333333333333,75.0,82.5,80.0,72.5,75.0,88.33333333333333,83.33333333333334,85.0,95.0,93.33299999999998,finalist,Alek Skarlatos_S21
Chaka Khan,Keo Motsepe,Singer/Rapper,Illinois,United States,62,21,Eliminated Week 2,13,43.333333333333336,50.0,,,,,,,,,,2,Chaka Khan_S21
Andy Grammer,Allison Holker,Singer/Rapper,California,United States,31,21,Eliminated Week 8,7,70.0,73.33333333333333,72.5,76.66666666666667,90.0,100.0,93.33333333333333,79.99933333333334,,,,8,Andy Grammer_S21
Tamar Braxton,Valentin Chmerkovskiy,Singer/Rapper,Maryland,United States,38,21,Withdrew,5,76.66666666666667,81.66666666666667,82.5,90.0,72.5,100.0,90.0,93.33333333333333,81.66666666666667,,,withdrew,Tamar Braxton_S21
Nick Carter,Sharna Burgess,Singer/Rapper,New York,United States,35,21,2nd Place,2,80.0,75.0,90.0,90.0,87.5,97.5,90.0,55.00000000000001,91.66666666666666,90.0,100.0,finalist,Nick Carter_S21
Hayes Grier,Emma Slater,Social Media Personality,North Carolina,United States,15,21,Eliminated Week 7,8,70.0,75.0,75.0,90.0,75.0,80.0,93.33333333333333,,,,,7,Hayes Grier_S21
Bindi Irwin,Derek Hough,TV Personality,,Australia,17,21,1st Place,1,80.0,80.0,80.0,93.33333333333333,92.5,100.0,96.66666666666667,93.33333333333333,100.0,52.5,100.0,finalist,Bindi Irwin_S21
Kim Zolciak-Biermann,Tony Dovolani,TV Personality,Florida,United States,37,21,Withdrew,11,40.0,61.66666666666667,,,,,,,,,,withdrew,Kim Zolciak-Biermann_S21
Paula Deen,Louis van Amstel,TV Personality,Georgia,United States,68,21,Eliminated Week 6,9,50.0,61.66666666666667,50.0,60.0,65.0,60.0,,,,,,6,Paula Deen_S21
Mischa Barton,Artem Chigvintsev,Actor/Actress,,England,30,22,Eliminated Week 3,11,53.333333333333336,50.0,60.0,,,,,,,,,3,Mischa Barton_S22
Kim Fields,Sasha Farber,Actor/Actress,New York,United States,46,22,Eliminated Week 7,8,66.66666666666666,63.33333333333333,73.33333333333333,80.0,70.0,80.0,86.66666666666667,,,,,7,Kim Fields_S22
Jodie Sweetin,Keo Motsepe,Actor/Actress,California,United States,34,22,Eliminated Week 8,6,66.66666666666666,70.0,76.66666666666667,67.5,87.5,83.33333333333334,85.0,100.0,,,,8,Jodie Sweetin_S22
Doug Flutie,Karina Smirnoff,Athlete,Maryland,United States,53,22,Eliminated Week 6,9,50.0,66.66666666666666,66.66666666666666,60.0,70.0,70.0,,,,,,6,Doug Flutie_S22
Von Miller,Witney Carson,Athlete,Texas,United States,27,22,Eliminated Week 7,7,70.0,66.66666666666666,66.66666666666666,80.0,72.5,80.0,86.66666666666667,,,,,7,Von Miller_S22
Antonio Brown,Sharna Burgess,Athlete,Florida,United States,27,22,Eliminated Week 9,5,70.0,63.33333333333333,66.66666666666666,87.5,65.0,90.0,86.66666666666667,90.0,91.66666666666666,,,9,Antonio Brown_S22
Paige VanZant,Mark Ballas,Athlete,Oregon,United States,22,22,2nd Place,2,70.0,80.0,76.66666666666667,90.0,77.5,93.33333333333333,91.66666666666666,93.33333333333333,98.33333333333333,98.88866666666668,,finalist,Paige VanZant_S22
Geraldo Rivera,Edyta Sliwinska,Journalist,New York,United States,72,22,Eliminated Week 2,12,43.333333333333336,43.333333333333336,,,,,,,,,,2,Geraldo Rivera_S22
Nyle DiMarco,Peta Murgatroyd,Model,New York,United States,26,22,1st Place,1,76.66666666666667,66.66666666666666,83.33333333333334,85.0,92.5,83.33333333333334,93.33333333333333,96.66666666666667,95.0,96.666,,finalist,Nyle DiMarco_S22
Ginger Zee,Valentin Chmerkovskiy,News Anchor,California,United States,35,22,3rd Place,3,76.66666666666667,70.0,70.0,90.0,80.0,80.0,91.66666666666666,100.0,93.33333333333333,94.44399999999999,,finalist,Ginger Zee_S22
Wanya Morris,Lindsay Arnold,Singer/Rapper,Pennsylvania,United States,42,22,Eliminated Week 9,4,76.66666666666667,80.0,80.0,87.5,75.0,96.66666666666667,91.66666666666666,83.33333333333334,100.0,,,9,Wanya Morris_S22
Marla Maples,Tony Dovolani,TV Personality,Georgia,United States,52,22,Eliminated Week 4,10,70.0,66.66666666666666,70.0,70.0,,,,,,,,4,Marla Maples_S22
Jake T. Austin,Jenna Johnson,Actor/Actress,New York,United States,21,23,Eliminated Week 2,13,55.00000000000001,60.0,,,,,,,,,,2,Jake T. Austin_S23
Maureen McCormick,Artem Chigvintsev,Actor/Actress,California,United States,60,23,Eliminated Week 7,8,55.00000000000001,65.0,70.0,80.0,80.0,77.5,82.5,,,,,7,Maureen McCormick_S23
Marilu Henner,Derek Hough,Actor/Actress,Illinois,United States,64,23,Eliminated Week 9,6,67.5,67.5,70.0,70.0,90.0,85.0,80.0,76.66666666666667,90.0,,,9,Marilu Henner_S23
